County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
35039,0.03030303,38,15,0.038560411,0.006177865,0.006002115,0.166802351,0,0,0,0,0,100,100,100,0,0,0,0,0,100,100,100,0,0,0,0,0,100,100,100,0,0,0,0,0,100,100,100,0,0,0,0,0,100,100,100
1001,0.104477612,175,73,0.061538462,0.023622877,0.015649745,0.192274316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.54794521,20.54794521,28.76712329,45.20547945,46.57534247,46.57534247,46.57534247,0,0,0,0,0,0,0,0,0,20.54794521,21.91780822,45.20547945,46.57534247,46.57534247,46.57534247,52.05479452
1009,0.074626866,132,60,0.049773756,0.01143584,0.009651409,0.131416456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,30,55,61.66666667,61.66666667,63.33333333,63.33333333,0,0,0,0,0,0,0,0,0,13.33333333,53.33333333,55,61.66666667,61.66666667,63.33333333,63.33333333
1013,0.76119403,55,21,0.014479638,0.156607211,0.054439593,0.13310979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04761905,28.57142857,33.33333333,47.61904762,57.14285714,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,19.04761905,28.57142857,33.33333333
1015,0.686567164,288,122,0.105882353,0.142400363,0.315527304,0.135546858,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,11.47540984,12.29508197,18.03278689,28.68852459,38.52459016,44.26229508,61.47540984,64.75409836,0,0,0,0,100,100,100,100,11.47540984,12.29508197,12.29508197,18.03278689,24.59016393,31.96721311,39.3442623,45.08196721
1017,0.52238806,107,40,0.031674208,0.120238759,0.064376332,0.162032034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,20,32.5,45,47.5,57.5,80,0,0,0,0,0,0,0,0,0,0,17.5,30,45,45,47.5,55
1031,0.223880597,84,35,0.027149321,0.026566864,0.039045545,0.053956764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.571428571,31.42857143,31.42857143,34.28571429,34.28571429,34.28571429,0,0,0,0,0,0,0,0,0,0,0,11.42857143,31.42857143,31.42857143,34.28571429,34.28571429
1033,0.089552239,161,70,0.058823529,0.018961778,0.012018667,0.184074742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11.42857143,11.42857143,24.28571429,0,0,0,0,0,0,0,0,0,0,0,10,11.42857143,11.42857143,24.28571429,37.14285714
1039,0.626865672,148,60,0.049773756,0.198658955,0.087888952,0.253631093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11.66666667,21.66666667,30,43.33333333,63.33333333,0,0,0,0,0,0,0,0,0,0,0,10,11.66666667,21.66666667,35,43.33333333
1043,0.164179104,267,122,0.105882353,0.044810858,0.047362443,0.226783019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37704918,8.196721311,27.04918033,35.24590164,45.08196721,50.81967213,0,0,0,0,0,0,0,0,0,7.37704918,8.196721311,27.04918033,35.24590164,45.08196721,50.81967213,59.83606557
